Main Image,Additional Image,Additional Image,Additional Image,Sku Config,Material Config,Supplier Sku,Supplier/Seller,Brand,Division,Category,Qtd Total,Qtd Available Site,Availability,SKU Curve,Material Simple,Size,Qtd,Gross Cost,Current Price,Original Price,Avg Age,Product Name,Division,Sourcing Type,Color,Gender,Itens aCR
https://static.minhaloja.com.br/p/-89071141-1-zoom.jpg,https://static.minhaloja.com.br/p/-89071141-2-zoom.jpg,https://static.minhaloja.com.br/p/-89071141-3-zoom.jpg,https://static.minhaloja.com.br/p/-89071141-4-zoom.jpg,GI283SHF01FHI,29253343,6950745 29253343,GIGIL,Gigil,Women Shoes,Bota,5281,5.280,"82,22%",Triple A,"
29253343001; 
29253343002; 
29253343003; 
29253343004; 
29253343005; 
29253343006; 
29253343007","
34; 
38; 
36; 
35; 
39; 
37; 
40","
941; 
0; 
778; 
862; 
936; 
806; 
958",R$0,"R$91,99","R$159,99",null,Bota Bico Fino GiGiL Salto Médio Detalhe Lateral Caramelo,MP,Marketplace,Caramelo,feminino,"225,4"
https://static.minhaloja.com.br/p/-62723641-1-zoom.jpg,https://static.minhaloja.com.br/p/-62723641-2-zoom.jpg,https://static.minhaloja.com.br/p/-62723641-3-zoom.jpg,https://static.minhaloja.com.br/p/-62723641-4-zoom.jpg,GI283SHF73OBE,32789327,7459517 32789327,GIGIL,Gigil,Women Shoes,Bota,5972,5.972,100%,Triple A,"
32789327001; 
32789327002; 
32789327003; 
32789327004; 
32789327005; 
32789327006; 
32789327007","
39; 
40; 
35; 
34; 
38; 
36; 
37","
929; 
942; 
840; 
960; 
827; 
752; 
722",R$0,"R$94,99","R$189,99",null,Bota Feminina Bico Fino Gigil Salto Bloco Médio Casual Preto,MP,Marketplace,Preto,feminino,"216,58"
https://static.minhaloja.com.br/p/-41186921-1-zoom.jpg,https://static.minhaloja.com.br/p/-41186921-2-zoom.jpg,https://static.minhaloja.com.br/p/-41186921-3-zoom.jpg,https://static.minhaloja.com.br/p/-41186921-4-zoom.jpg,VI323SHF85VPQ,27591699,R1010Preto-33,USEVITTAL,USE VITTAL,Women Shoes,Bota,8115,8.114,"99,38%",Triple A,"
27591699001; 
27591699002; 
27591699003; 
27591699004; 
27591699005; 
27591699006; 
27591699007; 
27591699008","
33; 
34; 
35; 
36; 
38; 
37; 
39; 
40","
0; 
1016; 
1148; 
1426; 
1142; 
1434; 
984; 
965",R$0,"R$179,91","R$397,9",null,Bota Coturno Chelsea Feminino Vittal Luisa em Couro Preta,MP,Marketplace,Preto,feminino,"201,88"
https://static.minhaloja.com.br/p/-18014641-1-zoom.jpg,https://static.minhaloja.com.br/p/-18014641-2-zoom.jpg,https://static.minhaloja.com.br/p/-18014641-3-zoom.jpg,https://static.minhaloja.com.br/p/-18014641-4-zoom.jpg,GI283SHF18AKN,32836383,462344NPPTO34,GIGIL,Gigil,Women Shoes,Bota,479,479,100%,Triple A,"
32836383001; 
32836383002; 
32836383003; 
32836383004; 
32836383005; 
32836383006; 
32836383007","
39; 
35; 
37; 
40; 
38; 
36; 
34","
28; 
58; 
133; 
18; 
74; 
143; 
25",R$0,"R$161,49","R$209,99",null,Bota Enrugada GigiL Cano Longo Slouch Bico Fino Preto,MP,Marketplace,Preto,feminino,"141,12"
https://static.minhaloja.com.br/p/-12352211-1-zoom.jpg,https://static.minhaloja.com.br/p/-12352211-2-zoom.jpg,https://static.minhaloja.com.br/p/-12352211-3-zoom.jpg,https://static.minhaloja.com.br/p/-12352211-4-zoom.jpg,GI283SHF78RND,25545147,523105NPPTO34,GIGIL,Gigil,Women Shoes,Bota,174,173,"62,68%",Triple A,"
25545147001; 
25545147002; 
25545147003; 
25545147004; 
25545147005; 
25545147006; 
25545147007","
40; 
39; 
38; 
37; 
36; 
35; 
34","
35; 
33; 
58; 
31; 
0; 
0; 
17",R$0,"R$161,49","R$249,99",null,Bota  Chelsea GiGiL Cano Longo Elástico Preta,MP,Marketplace,Preto,feminino,"135,24"
https://static.minhaloja.com.br/p/-52771111-1-zoom.jpg,https://static.minhaloja.com.br/p/-52771111-2-zoom.jpg,https://static.minhaloja.com.br/p/-52771111-3-zoom.jpg,https://static.minhaloja.com.br/p/-52771111-4-zoom.jpg,GI283SHF74OIV,25421245,3803NPPTO34,GIGIL,Gigil,Women Shoes,Bota,6918,6.916,100%,Triple A,"
25421245001; 
25421245002; 
25421245003; 
25421245004; 
25421245005; 
25421245006; 
25421245007","
40; 
39; 
38; 
37; 
36; 
35; 
34","
1064; 
993; 
1057; 
1020; 
917; 
915; 
952",R$0,"R$94,99","R$165,99",null,Bota Bico Fino Gigil Salto Alto Grosso Napa Preto,MP,Marketplace,Preto,feminino,"119,56"
https://static.minhaloja.com.br/p/-48961141-1-zoom.jpg,https://static.minhaloja.com.br/p/-48961141-2-zoom.jpg,https://static.minhaloja.com.br/p/-48961141-3-zoom.jpg,https://static.minhaloja.com.br/p/-48961141-4-zoom.jpg,GI283SHF15FCY,29253338,6950744 29253338,GIGIL,Gigil,Women Shoes,Bota,4562,4.562,"84,8%",Triple A,"
29253338001; 
29253338002; 
29253338003; 
29253338004; 
29253338005; 
29253338006; 
29253338007","
37; 
35; 
39; 
40; 
38; 
36; 
34","
891; 
907; 
0; 
0; 
928; 
860; 
976",R$0,"R$91,99","R$159,99",null,Bota Bico Fino GiGiL Salto Médio Detalhe Lateral Preto,MP,Marketplace,Preto,feminino,"114,66"
https://static.minhaloja.com.br/p/-72288141-1-zoom.jpg,https://static.minhaloja.com.br/p/-72288141-2-zoom.jpg,https://static.minhaloja.com.br/p/-72288141-3-zoom.jpg,https://static.minhaloja.com.br/p/-72288141-4-zoom.jpg,VI188APU72GNB,29669091,6929620 29669091,VIDA COSTEIRA,VIDA COSTEIRA,Kids Girl Apparel,Conjunto Longo,8211,8.211,100%,Triple A,"
29669091001; 
29669091002; 
29669091003; 
29669091004; 
29669091005; 
29669091006; 
29669091007; 
29669091008","
8; 
6; 
4; 
3; 
2; 
14; 
12; 
10","
935; 
1280; 
1736; 
578; 
1081; 
626; 
962; 
1013",R$0,"R$59,9","R$119,9",null,CONJUNTO INFANTIL BLUSA + CALÇA TÉRMICA PRETA,MP,Marketplace,Preto,unissex,"111,15"
https://static.minhaloja.com.br/p/-7113255-1-zoom.jpg,https://static.minhaloja.com.br/p/-7113255-2-zoom.jpg,https://static.minhaloja.com.br/p/-7113255-3-zoom.jpg,https://static.minhaloja.com.br/p/-7113255-4-zoom.jpg,AM398SHF82GHP,19552450,2105966 19552450,LUMISS,Amorelle,Women Shoes,Bota,68236,68.174,100%,Triple A,"
19552450001; 
19552450002; 
19552450003; 
19552450004; 
19552450005; 
19552450006; 
19552450007","
34; 
35; 
36; 
37; 
38; 
39; 
40","
9947; 
9872; 
9514; 
9484; 
9603; 
9817; 
9999",R$0,"R$99,9","R$199,8",null,Bota Coturno Lumiss Plataforma Sintético Preto Tratorado CORE,MP,Marketplace,Preto,feminino,"108,78"
https://static.minhaloja.com.br/p/-57575621-1-zoom.jpg,https://static.minhaloja.com.br/p/-57575621-2-zoom.jpg,https://static.minhaloja.com.br/p/-57575621-3-zoom.jpg,https://static.minhaloja.com.br/p/-57575621-4-zoom.jpg,RE499APM24EFV,27290741,4948054 27290741,RESERVA OFICIAL,Reserva,Casual Men Apparel,Top Manga Curta,249,248,"19,79%",Triple A,"
27290741001; 
27290741002; 
27290741003; 
27290741004; 
27290741005","
P; 
M; 
G; 
GG; 
GGG","
0; 
0; 
0; 
67; 
182",R$0,R$59,R$169,null,Camiseta Basica Vibe Macio Estilo Reserva,MP,Marketplace,Preto,masculino,"103,55"
